Xpath Tasks,Authors.xml,Authors2.xml (with namespaces),
Normal:,,,
all elements,/authors,,
"all ""author"" elements",//author,,
"the root element ""authors"" - 2 variants","/* ,  authors, child::authors",,
"the same as 3,  but this time without using the name of the element",/*,,
all elements enclosed by elements  /authors/author,//author/*,,
"all ""name"" elements (without using names of parent elements) ",//name,,
all elements which have 1 ancestors,,,
"all ""period"" attributes of ""author"" elements - 2 variants","//@period , ",,
"all ""author"" elements with a ""period"" attribute. ",//author[@period],,
"the fourth ""author"" element. ",//author[4],,
"the ""name"" node of the fourth author",//author[4]/name,,
the name of the fourth author (text),//author[4]/name[text()],,
all elements that have any attributes,//*[@*],,
all elements without any attributes,"/*/*/*[not(@*)] , //*[not(@*)]",,
the node of author born in 1828. ,//author[@born='1828'],,
name of the author born in 1828 (text),//author[@born='1828']/name,,
all authors that died after the year 0. ,//author[@died>'0'],,
the second author that died after the year 0 ,//author[@died<'0']/name  --- not Done,,
the name of second author that died after the year 0 (text),,,
"the last ""author"" element. ",//author[last()],,
"the ""name"" element that contains the text ""Tolstoy"". ","//*[contains(name,'Tolstoy')]/name",,
"all elements that contain the text ""Tolstoy""",,,
all descendants of all authors that died before the year 0. ,,,
all elements name of which starts with letter a,"//*[starts-with(name,'A')]",,
"all elements name of which contains ""t""","//*[contains(name,'t')]  ",,
select name and nationality of the second author (text),//author[2]/name|//author[2]/nationality,,
Advanced:,,,
 Tolstoy's nationality. ,//author[name='Leo Tolstoy']/nationality,,
the name of the second author that was 80 or older when he died. ,//author[@died - @born>=80 and position() = 2],,
"the born date of the last ""author"" element. ",//author[last()]/@born,,
select name of author if nationality is russian or period is classical (text),"NOT WORK   //*[contains(nationality,'Russian') or (period, 'classical')]/name",,
the name of the second author after Tolstoy. ,"//*[contains(name,'Tolstoy')]/following-sibling::author[2]/name",,
,,,
select record by name,"//div[@class='styled-checkbox__wrapper styled-checkbox--no-pointer-events'][.//label[text()=""Recording 2020-11-09 14:36:33""]]",div[class='styled-checkbox__wrapper styled-checkbox--no-pointer-events'] label,not clear how to do with value
start experiment button,"//button[.//span[text()=""Start experiment""]]",,
select parameter,,input#equipmentWorkThreshold,
change parameters by name,,,
start experiment button AGAIN,"//span[text()=""Start experiment""]/ancestor::button",,
